batch_id,question_id,original_reference_question_id,family_id,tier,mode,category,subcategory,language_status,question_pl,question_en,question_type,answer_count,primary_axis,secondary_axis,sensitivity_level,controversy_level,safety_label,comparison_allowed,source_id,source_usage_type,uniqueness_hash,content_status,content_contract_status,created_at,notes
S2A-01,TO99Q0001,TO99V3_Q031,TO99Q0001_FAM,free,question,identity,unknown_place,pl_en_complete,"Nowe miejsce online wydaje się fascynujące, ale lekko niepewne. Co sprawdzasz najpierw?",A new place online feels fascinating but slightly unsafe. What do you check first?,four_choice,4,AX01,AX06,low,low,standard,yes,SRC_TO99_PILOT_V3_STYLE_ADAPTED,original_generated_from_internal_style_reference,a97d629f14015509,stage2A_batch_ready_for_editorial_review,stage2A_answer_factory_candidate,2026-06-07T20:47:40Z,Stage 2A S2A-01 patch: cleaned question metadata and paired with four question-specific answer strategies.
S2A-01,TO99Q0002,TO99V3_Q032,TO99Q0002_FAM,free,riddle,mystery,closed_box,pl_en_complete,"Znajdujesz zamknięte pudełko bez właściciela, tylko z dziwnym symbolem. Co decyduje o kolejnym ruchu?","You find a locked box with no owner, only a strange symbol. What decides your next move?",four_choice,4,AX01,AX02,low,low,standard,yes,SRC_TO99_PILOT_V3_STYLE_ADAPTED,original_generated_from_internal_style_reference,3d8185bf665f3c09,stage2A_batch_ready_for_editorial_review,stage2A_answer_factory_candidate,2026-06-07T20:47:40Z,Stage 2A S2A-01 patch: cleaned question metadata and paired with four question-specific answer strategies.
S2A-01,TO99Q0003,TO99V3_Q033,TO99Q0003_FAM,free,controversy,ethics,private_message,pl_en_complete,Na wspólnym ekranie pojawia się prywatna wiadomość nieprzeznaczona dla Ciebie. Co robisz z pokusą przeczytania?,A private message not meant for you appears on a shared screen. What do you do with the pull to read it?,four_choice,4,AX01,AX03,low,medium,standard,yes,SRC_TO99_PILOT_V3_STYLE_ADAPTED,original_generated_from_internal_style_reference,c656f8a10477eb68,stage2A_batch_ready_for_editorial_review,stage2A_answer_factory_candidate,2026-06-07T20:47:40Z,Stage 2A S2A-01 patch: cleaned question metadata and paired with four question-specific answer strategies.
S2A-01,TO99Q0004,TO99V3_Q034,TO99Q0004_FAM,free,mystic,symbolic,recurring_dream,pl_en_complete,Ten sam sen wraca trzy noce z rzędu. Co robisz z nim rano?,The same dream returns three nights in a row. What do you do with it in the morning?,four_choice,4,AX01,AX05,low,low,standard,yes,SRC_TO99_PILOT_V3_STYLE_ADAPTED,original_generated_from_internal_style_reference,33fcfcd9ef42df3d,stage2A_batch_ready_for_editorial_review,stage2A_answer_factory_candidate,2026-06-07T20:47:40Z,Stage 2A S2A-01 patch: cleaned question metadata and paired with four question-specific answer strategies.
S2A-01,TO99Q0005,TO99V3_Q035,TO99Q0005_FAM,free,question,social_pressure,group_secret,pl_en_complete,"Grupa wyraźnie zna sekret, którego Tobie nie powiedziano. Jaka jest Twoja pierwsza reakcja wewnętrzna?",A group clearly knows a secret you were not told. What is your first internal reaction?,four_choice,4,AX01,AX03,low,low,standard,yes,SRC_TO99_PILOT_V3_STYLE_ADAPTED,original_generated_from_internal_style_reference,e1dddcbd8cceb23d,stage2A_batch_ready_for_editorial_review,stage2A_answer_factory_candidate,2026-06-07T20:47:40Z,Stage 2A S2A-01 patch: cleaned question metadata and paired with four question-specific answer strategies.
S2A-01,TO99Q0006,TO99V3_Q036,TO99Q0006_FAM,free,riddle,decision,two_doors,pl_en_complete,"Otwierają się dwoje drzwi: jedne znajome, drugie drżące czymś nieznanym. Który sygnał liczy się najbardziej?","Two doors open: one familiar, one humming with something unknown. Which signal matters most?",four_choice,4,AX01,AX04,low,low,standard,yes,SRC_TO99_PILOT_V3_STYLE_ADAPTED,original_generated_from_internal_style_reference,4747304be3de01e4,stage2A_batch_ready_for_editorial_review,stage2A_answer_factory_candidate,2026-06-07T20:47:40Z,Stage 2A S2A-01 patch: cleaned question metadata and paired with four question-specific answer strategies.
S2A-01,TO99Q0007,TO99V3_Q037,TO99Q0007_FAM,free,controversy,digital_life,anonymous_tip,pl_en_complete,"Anonimowa wskazówka twierdzi, że ktoś ukrywa coś ważnego. Co robisz, zanim w to uwierzysz?",An anonymous tip claims someone is hiding something important. What do you do before believing it?,four_choice,4,AX01,AX02,low,medium,standard,yes,SRC_TO99_PILOT_V3_STYLE_ADAPTED,original_generated_from_internal_style_reference,cfcc3f6f84262b0f,stage2A_batch_ready_for_editorial_review,stage2A_answer_factory_candidate,2026-06-07T20:47:40Z,Stage 2A S2A-01 patch: cleaned question metadata and paired with four question-specific answer strategies.
S2A-01,TO99Q0008,TO99V3_Q038,TO99Q0008_FAM,free,mystic,intuition,unusual_coincidence,pl_en_complete,"Zbieg okoliczności wydaje się zbyt precyzyjny, żeby go zignorować. Co sprawia, że ma znaczenie zamiast być przypadkiem?",A coincidence feels too precise to ignore. What keeps it meaningful instead of random?,four_choice,4,AX01,AX09,low,low,standard,yes,SRC_TO99_PILOT_V3_STYLE_ADAPTED,original_generated_from_internal_style_reference,4c381f8b3c96b0d0,stage2A_batch_ready_for_editorial_review,stage2A_answer_factory_candidate,2026-06-07T20:47:40Z,Stage 2A S2A-01 patch: cleaned question metadata and paired with four question-specific answer strategies.
S2A-01,TO99Q0009,TO99V3_Q039,TO99Q0009_FAM,free,question,learning,difficult_book,pl_en_complete,"Trudna książka Ci się opiera, ale jedno zdanie nie wychodzi z głowy. Co robisz?","A difficult book keeps resisting you, but one sentence will not leave your head. What do you do?",four_choice,4,AX01,AX10,low,low,standard,yes,SRC_TO99_PILOT_V3_STYLE_ADAPTED,original_generated_from_internal_style_reference,e5d475a89b49cedd,stage2A_batch_ready_for_editorial_review,stage2A_answer_factory_candidate,2026-06-07T20:47:40Z,Stage 2A S2A-01 patch: cleaned question metadata and paired with four question-specific answer strategies.
S2A-01,TO99Q0010,TO99V3_Q040,TO99Q0010_FAM,free,question,risk,stranger_offer,pl_en_complete,"Nieznajomy proponuje skrót, który brzmi użytecznie i trochę zbyt wygodnie. Czego słuchasz?",A stranger offers a shortcut that sounds useful and slightly too convenient. What do you listen to?,four_choice,4,AX01,AX07,low,low,standard,yes,SRC_TO99_PILOT_V3_STYLE_ADAPTED,original_generated_from_internal_style_reference,29a346b387d8c91f,stage2A_batch_ready_for_editorial_review,stage2A_answer_factory_candidate,2026-06-07T20:47:40Z,Stage 2A S2A-01 patch: cleaned question metadata and paired with four question-specific answer strategies.
S2A-01,TO99Q0011,TO99V3_Q041,TO99Q0011_FAM,free,question,conflict,heated_room,pl_en_complete,"Rozmowa robi się emocjonalna, zanim ktokolwiek rozumie fakty. Co robisz najpierw?",A conversation becomes emotional before anyone understands the facts. What do you do first?,four_choice,4,AX02,AX04,low,low,standard,yes,SRC_TO99_PILOT_V3_STYLE_ADAPTED,original_generated_from_internal_style_reference,a21914bc25b75297,stage2A_batch_ready_for_editorial_review,stage2A_answer_factory_candidate,2026-06-07T20:47:40Z,Stage 2A S2A-01 patch: cleaned question metadata and paired with four question-specific answer strategies.
S2A-01,TO99Q0012,TO99V3_Q042,TO99Q0012_FAM,free,question,relationship,late_reply,pl_en_complete,Ktoś ważny odpisuje znacznie później niż zwykle. Której historii ufasz najpierw?,Someone important replies much later than usual. What story do you trust first?,four_choice,4,AX02,AX03,low,low,standard,yes,SRC_TO99_PILOT_V3_STYLE_ADAPTED,original_generated_from_internal_style_reference,78eab514838349e4,stage2A_batch_ready_for_editorial_review,stage2A_answer_factory_candidate,2026-06-07T20:47:40Z,Stage 2A S2A-01 patch: cleaned question metadata and paired with four question-specific answer strategies.
S2A-01,TO99Q0013,TO99V3_Q043,TO99Q0013_FAM,free,controversy,ethics,unfair_rule,pl_en_complete,"Zasada jest niesprawiedliwa, ale jej złamanie mogłoby skrzywdzić kogoś niewinnego. Co decyduje?","A rule is unfair, but breaking it could hurt someone innocent. What decides?",four_choice,4,AX02,AX07,low,medium,standard,yes,SRC_TO99_PILOT_V3_STYLE_ADAPTED,original_generated_from_internal_style_reference,736a8df89b81e35e,stage2A_batch_ready_for_editorial_review,stage2A_answer_factory_candidate,2026-06-07T20:47:40Z,Stage 2A S2A-01 patch: cleaned question metadata and paired with four question-specific answer strategies.
S2A-01,TO99Q0014,TO99V3_Q044,TO99Q0014_FAM,free,riddle,perception,two_witnesses,pl_en_complete,Dwóch świadków opisuje to samo wydarzenie przeciwnie. Od czego zaczynasz?,Two witnesses describe the same event in opposite ways. Where do you begin?,four_choice,4,AX02,AX01,low,low,standard,yes,SRC_TO99_PILOT_V3_STYLE_ADAPTED,original_generated_from_internal_style_reference,55739432d95b297c,stage2A_batch_ready_for_editorial_review,stage2A_answer_factory_candidate,2026-06-07T20:47:40Z,Stage 2A S2A-01 patch: cleaned question metadata and paired with four question-specific answer strategies.
S2A-01,TO99Q0015,TO99V3_Q045,TO99Q0015_FAM,free,mystic,intuition,strong_hunch,pl_en_complete,"Masz silne przeczucie bez dowodu. Co sprawia, że warto za nim pójść?",You have a strong hunch with no proof. What makes it worth following?,four_choice,4,AX02,AX06,low,low,standard,yes,SRC_TO99_PILOT_V3_STYLE_ADAPTED,original_generated_from_internal_style_reference,3f3c537d0b6ab482,stage2A_batch_ready_for_editorial_review,stage2A_answer_factory_candidate,2026-06-07T20:47:40Z,Stage 2A S2A-01 patch: cleaned question metadata and paired with four question-specific answer strategies.
S2A-01,TO99Q0016,TO99V3_Q046,TO99Q0016_FAM,free,question,work,unclear_feedback,pl_en_complete,"Dostajesz mętną opinię o pracy, na której Ci zależało. Czego potrzebujesz najbardziej?",You receive vague feedback on work you cared about. What do you need most?,four_choice,4,AX02,AX10,low,low,standard,yes,SRC_TO99_PILOT_V3_STYLE_ADAPTED,original_generated_from_internal_style_reference,ccdc3f1d17383689,stage2A_batch_ready_for_editorial_review,stage2A_answer_factory_candidate,2026-06-07T20:47:40Z,Stage 2A S2A-01 patch: cleaned question metadata and paired with four question-specific answer strategies.
S2A-01,TO99Q0017,TO99V3_Q047,TO99Q0017_FAM,free,controversy,family,old_wound,pl_en_complete,Stara rodzinna rana wraca przy zwykłym posiłku. Co chronisz najpierw?,An old family wound returns during an ordinary meal. What do you protect first?,four_choice,4,AX02,AX08,low,medium,standard,yes,SRC_TO99_PILOT_V3_STYLE_ADAPTED,original_generated_from_internal_style_reference,4e8a4dec7108c1b3,stage2A_batch_ready_for_editorial_review,stage2A_answer_factory_candidate,2026-06-07T20:47:40Z,Stage 2A S2A-01 patch: cleaned question metadata and paired with four question-specific answer strategies.
S2A-01,TO99Q0018,TO99V3_Q048,TO99Q0018_FAM,free,question,decision,expensive_choice,pl_en_complete,"Chcesz czegoś drogiego z powodów, których nie umiesz w pełni uzasadnić. Co decyduje?",You want something expensive for reasons you cannot fully justify. What decides?,four_choice,4,AX02,AX07,low,low,standard,yes,SRC_TO99_PILOT_V3_STYLE_ADAPTED,original_generated_from_internal_style_reference,8120227c3771716d,stage2A_batch_ready_for_editorial_review,stage2A_answer_factory_candidate,2026-06-07T20:47:40Z,Stage 2A S2A-01 patch: cleaned question metadata and paired with four question-specific answer strategies.
S2A-01,TO99Q0019,TO99V3_Q049,TO99Q0019_FAM,free,mystic,inner_signal,sudden_sadness,pl_en_complete,Nagle pojawia się smutek bez jasnej przyczyny. Jak go traktujesz?,A sudden sadness appears without a clear cause. How do you treat it?,four_choice,4,AX02,AX05,low,low,standard,yes,SRC_TO99_PILOT_V3_STYLE_ADAPTED,original_generated_from_internal_style_reference,8364f0675740dfed,stage2A_batch_ready_for_editorial_review,stage2A_answer_factory_candidate,2026-06-07T20:47:40Z,Stage 2A S2A-01 patch: cleaned question metadata and paired with four question-specific answer strategies.
S2A-01,TO99Q0020,TO99V3_Q050,TO99Q0020_FAM,free,question,public_life,misunderstood_post,pl_en_complete,"Ludzie źle rozumieją coś, co opublikowałeś. Jaka jest Twoja najczystsza reakcja?",People misunderstand something you posted. What is your cleanest response?,four_choice,4,AX02,AX03,low,low,standard,yes,SRC_TO99_PILOT_V3_STYLE_ADAPTED,original_generated_from_internal_style_reference,0bcba2827194623d,stage2A_batch_ready_for_editorial_review,stage2A_answer_factory_candidate,2026-06-07T20:47:40Z,Stage 2A S2A-01 patch: cleaned question metadata and paired with four question-specific answer strategies.
S2A-01,TO99Q0021,TO99V3_Q051,TO99Q0021_FAM,free,question,relationship,group_plan,pl_en_complete,"Plan grupowy jest przyjemny, ale ciało chce wyjść wcześniej. Co szanujesz?","A group plan feels good, but your body wants to leave early. What do you honor?",four_choice,4,AX03,AX06,low,low,standard,yes,SRC_TO99_PILOT_V3_STYLE_ADAPTED,original_generated_from_internal_style_reference,6ce77b97b474f5c6,stage2A_batch_ready_for_editorial_review,stage2A_answer_factory_candidate,2026-06-07T20:47:40Z,Stage 2A S2A-01 patch: cleaned question metadata and paired with four question-specific answer strategies.
S2A-01,TO99Q0022,TO99V3_Q052,TO99Q0022_FAM,free,question,work,shared_credit,pl_en_complete,"Twoja praca staje się częścią sukcesu zespołu, ale Twoje nazwisko prawie nie pada. Co jest najważniejsze?",Your work becomes part of a team success and your name is barely mentioned. What matters most?,four_choice,4,AX03,AX07,low,low,standard,yes,SRC_TO99_PILOT_V3_STYLE_ADAPTED,original_generated_from_internal_style_reference,5595eb7b6b7b9490,stage2A_batch_ready_for_editorial_review,stage2A_answer_factory_candidate,2026-06-07T20:47:40Z,Stage 2A S2A-01 patch: cleaned question metadata and paired with four question-specific answer strategies.
S2A-01,TO99Q0023,TO99V3_Q053,TO99Q0023_FAM,free,controversy,family,expected_role,pl_en_complete,"Rodzina oczekuje, że znów odegrasz tę samą rolę. Co przełamuje wzór?",Family expects you to play the same role again. What breaks the pattern?,four_choice,4,AX03,AX08,low,medium,standard,yes,SRC_TO99_PILOT_V3_STYLE_ADAPTED,original_generated_from_internal_style_reference,a6eaad0e78a6571a,stage2A_batch_ready_for_editorial_review,stage2A_answer_factory_candidate,2026-06-07T20:47:40Z,Stage 2A S2A-01 patch: cleaned question metadata and paired with four question-specific answer strategies.
